02.12.2012 23:37:37   A1  0,0  A2  0,0  D1  0,0  D2  0,0
03.12.2012 01:20:08 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:09 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:10 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:11 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:12 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:13 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:14 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:15 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:52 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:53 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:54 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:55 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:56 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:57 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:58 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:20:59 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:00 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:01 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:02 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:03 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:04 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:05 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:06 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:07 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:08 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:09 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:10 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:11 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:24 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:21:25 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:22:30 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:22:31 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:22:32 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:22:55 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:22:56 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:23:20 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:23:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:23:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:23:28 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
